store_id,name,url,address,latitude,longitude,banner,click_and_collect,delivery
e89d6e45-f824-464a-8a69-c8028840c899,Foodie Mart,,"35 Landing Drive, Mangere, Auckland, 2022",-36.991298,174.781402,MNW,False,False
773ad0a0-024e-46c5-a94b-df1cf86d25cc,New World Albany,/upper-north-island/auckland/albany,"219 Don McKinnon Drive, Albany, Auckland, 0632",-36.728207,174.710519,MNW,True,True
8d098344-5474-4626-ae1c-90ed0f57306f,New World Alexandra,/south-island/otago-and-southland/alexandra,"89 Centennial Avenue, Alexandra, Alexandra, 9320",-45.2499,169.387,MNW,True,True
471d0657-713c-430a-816f-2ca8448e6b35,New World Aokautere,/lower-north-island/manawatu-and-wairarapa/aokautere,"194-200 Ruapehu Drive, Summerhill, Palmerston North, 4410",-40.387171,175.639157,MNW,True,True
30a90cf9-3547-46d1-b8b1-cc9ff4af5f88,New World Ashburton,/south-island/canterbury/ashburton,"75 Moore Street, Ashburton, 7700",-43.9039,171.7439,MNW,True,True
80bebcaf-d5a3-4ca6-a999-beab902aef55,New World Balclutha,/south-island/otago-and-southland/balclutha,"9 Lanark Street, Balclutha, 9230",-46.2381,169.7437,MNW,True,True
63190876-2bd4-4562-ae34-bb5caebab4f9,New World Birkenhead,/upper-north-island/auckland/birkenhead,"180 Mokoia Road, Chatswood, Auckland, 0626",-36.811428,174.711486,MNW,True,True
b3158cd8-72b9-40e5-8c4e-abd43c1be305,New World Bishopdale,/south-island/canterbury/bishopdale,"41 Bishopdale Court, Bishopdale, Christchurch, 8053",-43.4885,172.5872,MNW,True,False
756356f9-9985-40c9-a368-bf1ea8072b0e,New World Blenheim,/south-island/nelson-city-and-marlborough/blenheim,"4 Freswick Street, Blenheim, Blenheim, 7201",-41.5141,173.9613,MNW,True,True
c387ac97-5e0a-43ed-9c93-f1edccda298d,New World Botany,/upper-north-island/auckland/botany,"588 Chapel Road, East Tamaki, Auckland, 2013",-36.933874,174.911485,MNW,True,True
8d2ceac4-9520-4b8e-82bb-7867873580da,New World Broadway,/lower-north-island/manawatu-and-wairarapa/melodys,"Broadway Avenue, Palmerston North, 4414",-40.348551,175.623806,MNW,True,True
edc986dd-a28c-4fbe-899d-5680d51f584d,New World Brookfield,/upper-north-island/bay-of-plenty/brookfield,"89 Bellevue Road, Otumoetai, Tauranga, 3110",-37.688946,176.1347,MNW,True,True
dbdfdd2a-55f7-4870-9b51-979286323647,New World Browns Bay,/upper-north-island/auckland/browns-bay,"2 Inverness Road, Browns Bay, Auckland, 0630",-36.715961,174.747287,MNW,True,True
4db31fed-1e21-4884-82a5-cfaa178af8ac,New World Cambridge,/upper-north-island/waikato/cambridge,"14 Anzac Street, Cambridge, 3434",-37.893425,175.472202,MNW,True,True
1257ed9a-1790-4ad0-beae-383397043e35,New World Carterton,/lower-north-island/manawatu-and-wairarapa/carterton,"60 High Street South, -, Carterton, 5713",-41.026035,175.526349,MNW,True,True
50a98f3b-ffbd-4229-84bc-bfd3c956119f,New World Centre City,/south-island/otago-and-southland/centre-city,"133 Great King Street, Dunedin Central, Dunedin, 9016",-45.8713,170.5083,MNW,True,True
d4f24174-f962-4db1-9024-75495bb2dfbb,New World Churton Park,/lower-north-island/wellington/churton-park,"69 Lakewood Avenue, Churton Park, Wellington, 6037",-41.203041,174.807839,MNW,True,True
9829c627-42c8-4ad7-b550-f9dba9fcd44a,New World Cromwell,/south-island/otago-and-southland/cromwell,"2 Murray Terrace, Cromwell, Cromwell, 9310",-45.0375,169.1943,MNW,True,True
aed206ae-c0ba-4c81-b7e9-7b420bc3616c,New World Dannevirke,/lower-north-island/manawatu-and-wairarapa/dannevirke,"Denmark Street, Dannevirke, 4930",-40.210911,176.096788,MNW,True,True
513fc849-3dbe-4333-a148-4edee5baef67,New World Devonport,/upper-north-island/auckland/devonport,"35 Bartley Terrace, Devonport, Auckland, 0624",-36.82951,174.796193,MNW,True,True
c1aaac72-38c0-4cc0-ad05-f241047d88c5,New World Durham Street,/south-island/canterbury/durham-street,"175 Durham Street South, Christchurch Central, Christchurch, 8011",-43.5388269667,172.6332807333,MNW,True,True
491d26a4-78fd-4c6e-85e9-5b67fd97e2cc,New World Eastridge,/upper-north-island/auckland/eastridge,"209 Kepa Road, Mission Bay, Auckland, 1071",-36.861179,174.82901,MNW,True,True
a7c2a0cc-d39d-4b26-93ba-09adaa3a8bf6,New World Elles Road,/south-island/otago-and-southland/elles-road,"244 Elles Road, Strathern, Invercargill, 9812",-46.4269544,168.36167166667,MNW,True,False
