Store Name,Suburb,Address,Postcode,State,SiteDataID,latitude,longitude,Key Facilities
Bethlehem Woolworths,Tauranga,19 Bethlehem Road,3110,BOP,1222024,-37.6947,176.1088,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Fraser Cove Woolworths,Tauranga,"Fraser Cover Shopping Centre, 229 - 233 Fraser St",3112,BOP,1225707,-37.7141,176.1513,"ATM, Fresh flowers, Rug Doctor, Supergold card"
Tauranga Woolworths,Tauranga,618 Cameron Road,3112,BOP,2682132,-37.7004,176.1577,"Fresh flowers, Rug Doctor, Supergold card"
Te Puke Woolworths,Te Puke,Cnr Queen & Boucher St,3119,BOP,913417,-37.7846,176.3251,"Fresh flowers, Rug Doctor, Supergold card"
Katikati Woolworths,Katikati,123 - 131 Main Road,3129,BOP,913420,-37.5597,175.9158,"Fresh flowers, Rug Doctor, Supergold card"
Pokeno Woolworths,Pokeno,58 Great South Road,2402,WKO,2563753,-37.2453,175.0225,"EV Charging, Fresh flowers, Rug Doctor, Scan and go"
Bureta Park Woolworths,Tauranga,"44 - 50 Bureta Rd, Otumoetai",3110,BOP,1175393,-37.6683,176.1533,"ATM, Fresh flowers, Rug Doctor, Supergold card"
Pukekohe South Woolworths,Pukekohe,186-192 Manukau Rd,2120,AUK,1213289,-37.2106,174.9113,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Pukekohe Woolworths,Pukekohe,Cnr Tobin & Seddon Sts,2120,AUK,2686431,-37.1996,174.9022,"ATM, Fresh flowers, Rug Doctor"
Bayfair Woolworths,"Mt Maunganui, Tauranga","Bayfair Shopping Centre, 1 - 19 Givern Rd",3116,BOP,1497678,-37.6757,176.2241,"Fresh flowers, Rug Doctor, Supergold card"
Papamoa Woolworths,Papamoa,"Papamoa Shopping Centre, Domain Rd, Royal Palm Beach",3118,BOP,1478443,-37.699,176.2838,"Fresh flowers, Rug Doctor, Supergold card"
Paeroa Woolworths,Paeroa,27 Belmont Road,3600,WKO,1475732,-37.3784,175.6681,"Fresh flowers, Rug Doctor"
Papakura Woolworths,Papakura,2 Averill Street,2110,AUK,1224936,-37.0636,174.9442,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Roselands Mall Woolworths,Papakura,"90-96 Great South Road, Papakura",2110,AUK,2313141,-37.0589,174.9412,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Whakatane Woolworths,Whakatane,105-125 Commerce St,3120,BOP,2768276,-37.9561,176.9949,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Takanini Woolworths,Takanini,228 Great South Road,2112,AUK,480066,-37.0476,174.9271,"ATM, Fresh flowers, Liquor, Rug Doctor, Soft plastic recycling"
Waiata Shores Woolworths,Takanini,2 Periko Way,2112,AUK,3059814,-37.036,174.9057,Liquor
Manurewa Woolworths,Manurewa,227 Browns Road,2102,AUK,1906083,-37.0177,174.8649,"ATM, Fresh flowers, Rug Doctor"
Auckland Airport Woolworths,Mangere,Cnr Georgebolt Memorial & Cnr John Goulter Dr,2022,AUK,1189112,-36.9976,174.789,"ATM, Fresh flowers, Rug Doctor"
Manukau City Mall Woolworths,Manukau,"Shop 99 Manukau City Centre, Cnr Great South & Wiri Station Rds",2104,AUK,1906072,-36.9929,174.8822,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Manukau Woolworths,Manukau,652 Great South Road,2104,AUK,1225677,-36.987,174.8838,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Mangere East Woolworths,Mangere,359 Massey Rd,2024,AUK,1600626,-36.9667,174.8251,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Papatoetoe Woolworths,Papatoetoe,"Hunters Plaza, 217 Great South Rd",2025,AUK,1225052,-36.971,174.8605,"Fresh flowers, Rug Doctor"
Lynfield Woolworths,Lynfield,570 Hillsborough Road,1041,AUK,1225554,-36.9256,174.7231,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Kelston Woolworths,Glen Eden,Cnr Great North & West Coast Road,602,AUK,1237272,-36.9096,174.6635,"Fresh flowers, Rug Doctor"
Lynnmall Woolworths,New Lynn,"Lynnmall Shopping Centre, Great North Road",600,AUK,1225559,-36.9073,174.6843,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Onehunga Woolworths,"Onehunga, Auckland",Cnr Church St & Selwyn St,1061,AUK,1225560,-36.9231,174.7832,"Fresh flowers, Rug Doctor"
Mount Roskill Woolworths,"Mt Roskill, Auckland",112 Stoddard Road,1041,AUK,1906079,-36.9042,174.727,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Three Kings Woolworths,"Three Kings, Auckland",532 Mt Albert Road,1042,AUK,1740953,-36.9093,174.7551,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Henderson Woolworths,Henderson,"West City Shopping Centre, 7 Catherine Street",612,AUK,1230712,-36.8808,174.6328,"Fresh flowers, Rug Doctor, Soft plastic recycling"
